site.plot,DSV.change,DSV.2013,DSV.2019,Rich.2013,Rich.2019,obs.ext,obs.rank.ext,ext.z,Scenario
1.2,0.5,5,5.5,10,18,4,6,-6.032195182,3
1.24,20,0,20,9,18,4,5,5.556430791,4
1.4,5,0,5,8,15,6,4,11.79303031,4
1.6,15,0,15,10,14,5,6.6,-2.819883675,3
1.7,1.5,1,2.5,16,13,8,7.375,-10.67343493,3
1.9,1,0,1,9,18,3,5.333333333,-14.08120336,3
2.11,50,0,50,5,8,1,4,-3.856667241,3
2.12,50,0,50,6,6,3,3.666666667,-0.59592613,3
2.13,2,0,2,8,7,4,5,11.53679312,4
2.14,30,0,30,8,11,3,4.666666667,-0.923963602,3
2.15,0.25,0,0.25,9,7,6,5.166666667,19.03626969,4
2.21,1,1,2,8,4,5,4.4,14.4956763,4
2.3,6.5,1,7.5,11,7,6,5.333333333,-3.478086802,3
2.5,0.25,0,0.25,6,7,2,3.5,-6.126194416,3
2.6,1,0,1,7,5,3,5,-0.146461253,3
2.7,1,0,1,6,5,4,3.5,20.28200448,4
2.8,20,0,20,6,5,4,3,0.975507922,3
3.1,35,30,65,13,11,5,6.4,-6.757695666,3
3.14,30,20,50,6,8,4,4.25,-1.593349534,3
3.15,65,5,70,7,10,4,3.75,-2.602591034,3
3.2,60,10,70,9,8,6,4.833333333,0.8375297,3
3.3,50,30,80,8,7,4,4.75,-6.789435992,3
3.4,90,0,90,10,9,7,6.571428571,-3.01919597,3
3.5,20,15,35,10,4,7,6,5.425890711,4
4.1,75,10,85,7,10,2,4,-4.328500471,3
4.11,10,0,10,5,6,2,3.5,2.476549755,4
4.12,55,5,60,8,7,4,5.25,-1.264406275,3
4.13,75,5,80,8,9,4,5.25,-1.40598953,3
4.14,15,60,75,7,6,3,5,-2.511723463,3
4.15,40,40,80,10,10,5,6.4,0.052005261,3
4.16,14,1,15,7,8,2,4,-2.835061199,3
4.17,25,10,35,9,9,4,6.75,-0.72439331,3
4.18,5,25,30,7,10,3,5.333333333,-6.101515089,3
4.19,15,10,25,7,12,3,5.333333333,-2.731325657,3
4.2,80,10,90,9,13,4,6.5,-3.660642093,3
4.21,10,0,10,5,8,3,2.666666667,5.119186156,4
4.23,30,40,70,6,14,1,6,-2.529264272,3
4.24,19,1,20,10,14,4,8,1.740835086,3
4.25,79,1,80,11,10,6,6.666666667,-0.877320968,3
4.6,50,0,50,6,9,2,2,-0.025007811,3
4.7,60,15,75,7,6,4,3.5,0.537205398,3
4.9,15,25,40,9,6,5,5.8,1.709126149,3
5.1,45,5,50,5,9,1,5,-3.217197086,3
5.11,30,5,35,8,7,3,2.666666667,-1.317321847,3
5.13,40,10,50,7,8,2,4,-2.659764432,3
5.14,25,5,30,7,6,4,4.75,2.103588351,4
5.16,80,5,85,8,7,3,4.666666667,-1.016916931,3
5.2,150,10,160,5,5,1,3,-14.85694422,3
5.23,30,30,60,9,5,8,5.125,4.494479659,4
5.24,15,25,40,5,8,1,1,-4.010375982,3
5.25,9,1,10,7,11,1,6,-5.497030963,3
5.3,45,5,50,6,11,0,NA,-7.18852623,1
5.4,50,10,60,5,8,2,4.5,-4.082125531,3
5.5,45,5,50,5,5,2,3.5,-1.63208566,3
5.6,75,0,75,9,4,7,4.714285714,2.638379704,4
5.7,70,5,75,6,3,4,3.5,-2.751533694,3
5.8,30,5,35,5,6,1,4,-1.071807913,3
5.9,65,5,70,5,6,2,4.5,-1.608032567,3
6.1,74,1,75,13,9,10,8.1,-1.819699701,3
6.12,1,0,1,6,8,3,4,6.992925068,4
6.13,0.25,0,0.25,7,7,3,6,-5.302232591,3
6.15,4,1,5,5,5,1,3,-7.826789107,3
6.17,5,0,5,10,11,7,5.857142857,10.56295163,4
6.18,2.5,0,2.5,6,8,3,3.333333333,11.17063377,4
6.19,1,1,2,9,4,7,5.857142857,7.59650468,4
6.2,15,0,15,8,10,5,4.8,-0.585976218,3
6.21,1.5,1,2.5,8,12,4,5,-21.04857442,3
6.22,10,0,10,6,5,3,4,-0.492357829,3
6.24,35,5,40,11,5,8,7.5,-1.111317342,3
6.25,25,0,25,10,5,6,6.666666667,2.929321285,4
6.7,1.5,0,1.5,7,8,4,4.75,-6.960647588,3
6.8,4,1,5,14,8,10,8.4,5.324841986,4
6.9,1,0,1,6,12,3,5,-0.149984571,3
8.1,25,75,100,5,4,4,3.5,-1.733563193,3
8.12,5,95,100,7,6,3,4,-3.181634506,3
8.13,15,80,95,9,3,8,5.5,5.008448567,4
8.16,25,65,90,6,7,3,4.666666667,-0.324160702,3
8.5,35,50,85,5,4,3,3,-2.27132511,3
8.6,10,90,100,7,4,6,3.666666667,1.312474772,3
8.7,5,95,100,6,4,3,4,-0.371518225,3
9.14,45,45,90,8,7,5,4.8,-4.785365045,3
9.15,30,50,80,10,11,3,6.666666667,-3.872274047,3
9.19,5,5,10,13,12,6,8.833333333,-0.286806158,3
9.22,10,5,15,15,17,4,12.5,-10.11954325,3
9.25,80,10,90,13,8,10,8.4,-2.028252682,3
9.7,5,15,20,11,11,2,7.5,-12.50691112,3
11.11,60,15,75,7,6,4,4.25,-2.389150323,3
14.1,70,0,70,6,3,3,3,-0.996262175,3
14.18,10,60,70,5,4,2,2,-0.611989204,3
14.6,60,10,70,5,4,2,3.5,-0.564969301,3